谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
沔阳王氏宗谱（湖北省/仙桃市）,王新民,王,1997,三槐堂,始祖王天柱，原世居江右吉安府吉水县王家庄鉴湖状元亭，元朝时期做官鄂州观察使者，传三世始迁祖王世进，原官为温州太守，后奉父命，于明洪武二年（1369年），迁徙至沔阳府沔阳县，卜居丞相台（今隶属于湖北省仙桃市西流河镇下查村）开基。 谱载序言、目录、凡例、题字、三槐堂的由来、祠堂图、支系分布图、迁葬纪念文、世系简表、世系图。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/7vegwlcpi1l7k31w
沔阳孟氏宗谱不分卷（湖北省仙桃市）,孟继堂,孟,1921年,亚圣堂,--,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/coonvcrcor1svrit
沔阳吴兴堂姚氏族谱（湖北省/仙桃市）,姚高霖,姚,2012,吴兴堂,始迁祖天福，明洪武时期从江西省吉安市吉水县迁到楚北沔阳州排湖郭岭（今湖北省仙桃市排湖风景区）。 谱载祖先图、历代姚姓人物、圣谕、摘录、序、传、编修说明、派语、族规、祖坟、祠堂、赞语、艺文、文献、源流世系、世系、功德表、编后语。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/84ld5yer189z2qdk
沔阳县长埫口胡氏族谱七卷（湖北省仙桃市）,胡维荣,胡,1926年,--,始迁祖少逸，又名惟思，字希祖，行陈七，明代人。书名据卷端题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/iphn5km8hyvu7q5m
沔阳中村闪氏家谱不分卷（河南省焦作市孟州市）,闪维泰,闪,2000年,--,始迁祖彪，明初自山西洪洞迁至河南孟州沔阳中村。书名据书衣题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/h9pstt3ivvobvaza
沔西钱氏族谱（上海市浦东新区）,钱汪基,钱,清康熙二十九年（1690）,裕德堂,始遷祖智，號水巷，明代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/rb5c8r7fndrydbp6
沔监洪回笼寺傅氏宗谱（湖北省）,傅立龙,傅,2022,版筑堂,本谱主要记载居湖北省荆州市监利市、洪湖市、十堰市回龙寺、仙桃市的傅氏宗派世系，本谱奉傅作舟为始祖。 谱载续谱编纂人员名单、傅氏通谱巡回新百派、续谱简述、家训、世序列表、世序辈份对照表、奉献榜名册、世序花名册。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/cib7jzh3jszd5t12
沔汉朱氏家志（湖北省/仙桃市）,朱国汉,朱,1995,紫阳堂,始迁祖妥，明洪武二年从湖北黄州府麻城县板桥畈迁到沔之泗江三角垸白家桥（今湖北省仙桃市三角垸）。 卷首（即卷一）像赞、源流考、诗、祖训、传、首事名目、序、世系，卷二至卷八世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5g7kw409ieow6rmu
沔浒徐氏十修族谱不分卷（江西省宜春市丰城市）,徐仁和,徐,1933年,--,谱奉唐人韜（字丕略，号坦齋）为始祖。始迁祖德勝，行茂一，元间自覺溪迁丰城沔滸。载谱序、祠堂图、墓图、像图、敕誥、源流序、祠堂记、凡例、家配、表派、領谱字号、源流世系、传、事實、墓誌銘、世系。书名据版心题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gongmenrer25vzxq
沔城邵氏宗谱（湖北省/仙桃市）,邵启柏,邵,2015,安乐堂,始迁祖泗，明洪武间由凤阳府(今安徽省滁州市凤阳县)迁沔(今湖北省仙桃市沔城回族镇)。 卷一序言篇、理事篇，卷二溯源篇，卷三派字篇、族规家范篇，卷四人物传记篇、贞洁传、本族编年篇、修谱纪实篇，卷五收族篇，卷六至卷十世牒篇。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/b5ryldtns6u6qzit
沔南李氏宗谱（湖北省）,李汉涛,李,2005,陇西堂,始祖茂德，世居江西丰城县湖茫乡。其六世孙实（字静观），元末迁居沔南吕蒙口（今洪湖市老湾乡兴隆村）。实族侄胜远，明初迁沔南乌林矶冷埠头（今洪湖市乌林镇松林村）。实有孙文富、文贵、文昌、文榜，胜远有子文金、文亮，后裔散居洪湖、仙桃二市各乡镇，为沔南李氏六大支系。此谱是六支系合修。 谱载源流考、新旧谱序选录、旧谱人物传记、祠墓记、当代人物、统宗世系、分支世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/omw17v1na4xjl4cx
沔南李氏宗谱（湖北省/荆州市/洪湖市）,李其俊,李,2006,陇西堂,李茂德（名茂林，讳斯文），为迁沔南李氏公祖。元末，静观迁沔南吕蒙口。明初，李胜远受封落籍沔阳之黄蓬山乌林矶。 卷一序、派语、凡例、分支世系谱检索发、追本溯源、地域变迁、谱序选录、圣祖先贤、诰命敕诏、颂词悼语、祠墓阁院、当代人物、文明建构、谱牒概述、编后杂录、吉庆有余、统宗世系，卷二至卷十五世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gs9amolsud5b48h9
沐麈水阁方氏宗谱七卷（浙江省衢州市）,方伍塔,方,1936年,--,始祖洪，字荒之，北宋初人。始遷祖宗敏，字子器，號默菴，行宗五九，北宋仁宗時自桐廬鷺鶿源遷居三衢西邑沐塵水閣。卷一上家乘、地圖志、里居圖、水閣圖、祠圖、勝堂源圖、獻掌形圖、遺像、詩序、譜序、文昌閣記、誥敕、行次説、宗法、祠規、祠宇、造祠捐田、祠祀、譜例、青峒公記、贊獻、禮文、祭文、對聯、水堰全圖、田糧誌、捐放祀穀序、祀田、風水，卷一下修譜事録、譜序、譜跋、修譜録、修祠録、紳士禄、里行禄、貞淑録，卷二世系圖，卷三至七世系傳。書名據卷端題。十修本。有抄配。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/aic3wl6osb6nsogs
