谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
汤氏族谱（江苏省镇江市丹徒区）,不详,汤,清,毓秀堂,兗州泗水始祖雄偉，諡忠烈，唐代人。丹陽始祖復古，宋代人。始迁祖喬年，南宋初迁居丹徒上黨。卷二世系，卷二十九行傳。存卷二、二十九。书名據版心、书簽题。记事至清道光间。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/63mb8wcj4isq2yra
汤氏族谱（江苏省/扬州市）,汤锦春,汤,2011,中山堂,始迁祖汤开基，明洪初年，由江苏省苏州市，迁到江苏省扬州市。 卷一彩照、功德榜、谱序、传略、凡例、家训、赞文、修谱录、领谱录、后记，卷二至卷五世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/7kg3d4zkhjojcn4v
汤氏族谱（山东省/菏泽市/郓城县）,汤继磊,汤,2006,--,始祖和，安徽凤阳人，明初功臣。始迁祖四世文瑄，明代迁居山东郓邑。 卷一谱序，卷二至二十一世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gplt4c5ryo2c2h9u
汤氏族谱（四川省绵阳市三台县）,汤振武,汤,2003年,--,始祖進賢，原籍湖北麻城，宋代官迁重慶府尹，家於梓州（今四川三台縣）。譜載譜序、原譜图贊、名人图解、中山湯氏發源、世系、後记等。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5dpvv8i8qqgq3ncj
汤氏族谱（中山）（福建省/龙岩市）,汤道隆;汤坤华,汤,1997,--,始祖智，河南省光州固始县人，宋绍兴二十八年晋封竭忠辅国将军，驻扎柳营江东乌寻坑，为入闽始祖。始迁祖笃川（字积洪，名宗瑞），宋朝年间自龙溪云岭迁至龙岩居万安里后洋山邱宅坪。 卷一全族总目录、续修谱序、续谱工作人员、赞助芳名录、大宗祖产、绅衿、寿考、世系未详的祖上、本次续谱收支账、编后语、谱成有感、勘误表，卷二历代史迹、历代谱序、祝贺文章，卷三至十六世系图、世表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/dvg8uzkhfh2qih12
汤氏族谱苏鲁皖丰沛微砀（全国）,汤继文,汤,2020,文正堂,始祖汤和，其子孙后代散落于江苏省、山东省、安徽省，本谱由三省后人合修，尊汤和为始祖。 卷首前言、谱论、谱序、传记、恩荣榜、堂号源流、家族记事、族规家训、称谓图表、功德榜、后记、世系录，卷二至四前言、谱序、对照表、世系录、后记。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2k1nqg7ezo7ltsep
汤氏族谱河村二房三枝（广东省/江门市/新会区）,佚名,汤,2007,--,始祖统，宋代人，原居汴梁，因宋南渡，迁于南雄，遂至广州，后卜居古冈文章里汤边村（今台山）。至五世立贤，号中斋，自汤边迁邑城西门外化龙里（今会城新盛街），是为始迁祖。立贤裔孙子敬，讳泰诚，号耕隐，于明洪武甲子（1384）年自化龙里迁居河村（今司前圩镇一带）开基，始开河村三房。 谱载谱序、姓源、族谱议、传录、居址、仕籍、艺文、世系，世系主记河村二房三枝，记事至民国间。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ejpis1yqrwkmwkuv
汤氏族谱四卷首一卷末一卷(湖南桃源),汤正明,汤,民國4年(1915),中山堂,鼻倍，明季居桃源南鄉之白馬渡欽山灣。始祖朝富（字君錫），清初人。始遷祖士學（字友生）、士科、士元（字玉生）、士奇，皆朝富孫，清乾隆間遷居邑之桃花源上之陳家山。卷首序、修譜名氏、目錄、凡例、服制圖、族規、古訓、家訓、閨門要錄、祀典、歷代名賢錄，卷一至四世系，卷末家傳、祭祖文、歷代宗派、領譜名氏、宗祠圖、塋山圖、祀產契約、禁碑、年表、捐資名氏。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/y17eb4s48p3zzeqm
汤氏族谱十四卷(江苏丹阳),汤祥金,汤,清光緒25年(1899),永思堂,清同治十年《雲陽湯氏宗譜》（館藏1013192-3203）之續修譜。始祖儲（字君實），原籍河南開封府。其次子定，宋建資南渡，居潤州。第九世柱（字廷榦，號太安），元末避兵，遷居丹陽尹沙，名其地曰湯家灣。卷一譜序、凡例、家訓、家傳、讚、行略、壽序，卷二世系圖，卷二至十四世系年表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/a4tmov0wxd803r73
汤氏族谱二卷（湖南省常德市桃源县）,汤逢正,汤,民國4年(1915),中山堂;文德堂,始祖倍，明代迁居桃源南鄉之白馬渡欽山灣，傳至士奇，再迁陳家山。存卷載凡例、家規、祀典等。存卷一。书名據版心、书衣、书名页题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/b8uecihhrsatyclk
