谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
拉市美泉木氏宗谱(云南丽江),木奉之,木,2007年,--,始迁祖立，明隆庆间自云南丽江古路湾移居拉市姆别（今美泉村）。 谱载序言、族规、家训、总纲、世系、寄望、正本清源、家族图、火葬、后记。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/bd26iozpsnemmmlv
抱罕陈氏族谱五卷 （甘肃省临夏回族自治州）,陈鋆,陈,清道光十年（1830）,--,始遷祖國才，號樂耕，明代人。書名據書衣題。卷末有道光二十三年雙柏二山題識。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wwcylqahuelwon19
披头马住齐氏家谱（河南省焦作市济源市）,齐晓声,齐,1999年,--,始遷祖治堯。書名據封面題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/lzavzkgktwihb2by
护国刘氏宗谱六卷（浙江省绍兴市嵊州市）,张锡光,刘,清光緒九年（1883）,燕翼堂,始祖伯勤，字竹楼，行貴四，宋代自越城（今紹兴市越城區）迁居嵊县（今嵊州市）邑城（今城關镇）。始迁祖子彰，明代自嵊县邑城迁居本邑石砩村（今屬長樂镇）。卷一谱序，卷二系图，卷四世传，卷五列传。存卷一、二、四、五。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vshnzii1kyxmpg62
抝背源饶氏族谱（江西省/抚州市/广昌县）,饶世金,饶,1994,--,始祖饶元亮，唐代由江西省上饶市鄱阳县，晚年迁到南城蓝田乡。二十四世孙始迁祖自福，明代由江西省萍乡市湘东区，迁居江西省抚州市广昌县金溪镇。 卷首(即卷一)新序、告谕、族规、迁徙、训词、凡例、族派、仕宦、修谱芳名、领谱字号、源流世传、以刚公世传、以显公世传，卷二至卷五世系，卷六世系、墓表、行述、行赞、祠祀、行传、跋。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/7uq3p7wuurhjeb3g
折家寨家谱简史(陕西神木),折茂林,--,2011年,--,是族居神木县栏杆堡镇折家寨村。分上、下二门。上支门始祖崇富，下支门始祖公德，清代人。 谱载生息繁衍、世系、族人变迁概述、乡俗录、后记、折氏家族史略。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/he4lfjzcilf1fu46
把氏家谱（甘肃省兰州市永登县）,把志先,把,2006年影印清寫,--,始遷祖應養，清初定居永登。譜首載2006年新編之甘肅把姓淵源考、把氏源流譜序。餘为複印嘉慶、光緒二次纂修《河橋鎮把氏宗譜》，内載譜序、世系、牌位等。書名據封面題。據清嘉慶二十三年、清光緒七年兩次纂修抄本複印。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/fvly35tag1bhbo18
把氏家谱（甘肃省兰州市永登县）,把志先,把,2006年影印清嘉慶、光緒寫本,--,始遷祖營山，山西洪洞縣人，清初官任甘肅莊浪龔指揮使而居兹地。譜首載2006年新編之甘肅把姓淵源考、把氏源流譜序。餘为複印道光、光緒二次纂修《古山把氏家譜》，内載譜序、傳、世系。書名據封面題。據清道光十二年、清光緒八年兩次纂修抄本複印。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vimb3dabrygrdate
把姓广谱·甘肃卷（甘肃省）,把志先,把,2008,--,甘肃把氏大都聚居于永登县。永登县把氏始祖帖木儿，为蒙古族，明洪武年间随李文忠部西征来甘肃，选为总旗。其次子把都，升正千户，徙居永登（明庄浪卫），以首音把为姓。后裔袭职，遂世居永登。 谱载把姓渊源考、甘肃把氏谱碟汇纂（家谱序、世系攷证、世系名录、家族人物简介）、当代甘肃把氏名录（永登、兰州市天祝县、其他地区）等三编。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2fu11v0qyn2rmgbh
承袭二等轻车都尉札克逊所遗之缺家谱不分卷,佚名,--,清(1644-1911),--,內容為清二等輕車都尉承襲世表，自穆賽始，至那都胡止。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/dde3n6enyq60ggqd
承留镇南杜村周氏家谱（河南省焦作市济源市）,周观端,周,1996年,--,始遷祖鑑，明洪武間自山西洪洞遷濟源，擇南社安居。 書名據封面題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vhrx1cqndun8eq1f
承庆堂朱氏家谱（台湾省/台中市）,朱春良,朱,1955,--,始迁祖时壬，清代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/yibh5qussu2zcgn3
承恩堂周氏族谱（广东省茂名市）,不详,周,據1928年高州石印局,--,存卷四至七。書名據卷端題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wqpqfknyyinugnva
承德吴氏家谱（河北省/承德市）,吴崇刚,吴,2002,--,本族先世于清雍正间由河北省沧县槐树院人迁居热河（今承德）定居。 第一册续谱说明、人物简介、调制要领、家族系统表，第二册寿辰表、姑舅关系表、姑舅亲、坟墓位置图，第三册第七至十代排行、各户系统表,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/yikpeeab91c8pjif
承天明乡社陈氏正谱,陈荆和,陈,1964年,--,始遷祖養純，明代人。書名據書名頁題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/lmk4ze2htuxcczov
承启堂乐氏宗谱不分卷（浙江省舟山市定海区）,乐雍棠,乐,--,--,始迁祖全五，明正德间自镇海县小港村（今屬宁波市北侖區小港镇）迁至定海县小沙嶴青龍山村（今小沙镇樂家村）。谱载排行字、凡例、世系图、世系年表。据清乾隆五十六年（1791）抄本複印。书名据书名页题。三修本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/s6zohtymsyd1rzfb
承启堂定海小沙乐氏不分卷（浙江省舟山市定海区）,乐秀擢,乐,--,--,始迁祖全五，明正德间自镇海县小港村（今屬宁波市北侖區小港镇）迁至定海县小沙嶴青龍山村（今小沙镇樂家村）。据1941年抄本複印。书名据书名页题。五修本。谱载谱序、世系图、排行表、世系年表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/dbxli257mxwhjknt
承兴马氏宗谱四卷（浙江省绍兴市嵊州市）,马鸿,马,清嘉庆十二年（1807）,--,始祖世銓，字秉衡，号平菴，行曾十二，南宋淳熙三年迁剡西禭源。书名据版心、目录题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/v8e1hw8lfs5jh6ck
承事郎公房桂岒赖氏宗谱不分卷（台湾省新竹市）,赖璇,赖,1935年,--,始祖貴賢，元代人。始遷祖芳勳，清代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gr7pj2lois6ripfx
扶风［马氏］族谱不分卷（上海市松江区）,马棠,马,清道光21年(1841),--,始迁祖萬里，字經宇，世居上海，明萬曆间迁。谱载序、世系。书名据版心题。佚名增补至清同治间。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5hmgy6ip89tkcxh1
扶风［马氏］族谱不分卷（上海市松江区）,不详,马,清,--,始迁祖萬里，字經宇，世居上海，明萬曆间迁。谱存世系。书名据版心题。记事至清嘉庆间，佚名增补至清道光间。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/amu9b9agw6774znj
扶风马氏家乘一卷（陕西省榆林市米脂县）,马重儒,马,民國33年(1944),--,始祖林槐，明末自山西永宁州迁居陝西綏德城东。第四世雲风，字順天，因原居地狹隘，遂徙于米脂东之杨家溝，为本支始迁祖。雲风有孫珩，珩次子嘉德，此为嘉德一支谱。载清同治二年旧谱序、世系图、世传。据1944年敬慈堂抄本複印，毛装。书名据封面题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/a5tsuqxf24h4u64s
扶风马氏宗谱四卷（浙江省绍兴市嵊州市）,等;马良龙,马,清光绪十四年（1888）,崇德堂,始祖團，字继宗，号湘水，行悠四，後唐人。始迁祖光祖，字純武，行千四，宋代人。寻源姓氏书名据版心题。五修本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/koqbcde1rij6sdwo
