谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
华氏金粟传芬集二卷（江苏省无锡市）,华锡琦,华,1916年,九思堂,始遷祖原泉，宋代人。書名據卷端題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/n7gi5c4uh1f1tbv9
华氏通四堠阳晴云公支宗谱十三卷，首三卷，末一卷(无锡),华堂,华,民國14年(1925),存裕堂,--,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/kslmdpzxqyffjexi
华氏通四三省公支宗谱十五卷，首三卷，末一卷（江苏省无锡市）,华鸣模,华,清宣統3年(1911),存裕堂,参见清光绪七年华鸿模修《华氏通四三省公支宗谱》条目。卷首凡例、源流、诰敕、祠记、祝文、墓记、墓图等，馀卷为世系、世表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/l2djzx3yzuyu7uyv
华氏通四三省公支宗谱十五卷首三卷末一卷(江苏无锡),华鸿模,华,清光緒7-8年(1882-1883),存裕堂,為館藏：JP777之複本。始遷祖原泉（行三一），宋南渡時由汴梁徙居無錫梅里鄉隆亭。历七世而分十五支：通一、通二、通五、通十、奇四、通六、通九、奇五、通三、通四、奇一、通八、奇二、通七、奇三。各支派子孫散居蘇州、松江、杭州、紹興、京口、明州等地。七世璞（字德珍，行通四），宋末元初人，啟通四支。十二世宗康（字思諄，號三省），明中葉人，系出通四支鵝湖派下，啟三省公支。嗣後子孫或徙居蘇州、太倉、崑山、上海等地。卷首凡例、源流、誥敕、祠記、祝文、墓圖等，餘卷皆載世系、世表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gd0yd5ofj6coq13z
华氏通十支宗谱（江苏省无锡市）,华鸣玉,华,清咸豐4年(1854),培元堂,参见清华希闵修《华氏宗谱》条目。存卷所载世系较参见本略有增益。存卷7,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/b2s5vahpy8npgkb6
华氏通十支宗谱（江苏省/无锡市）,华锐敏;华元良,华,2017,培元堂,始迁祖原泉，宋靖康年间南渡自汴梁复归无锡居梅里乡之隆亭（今东亭）焉。七世祖珬（字世珍，号西严），生于宋咸淳五年，为通十支祖。十一世祖清（字宗源），赘上舍顾氏因世居焉，为宗源派祖。 卷一修续组织机构名单、修续名号、远祖宗脉世谱、注释、世系源本、新序、凡例、序、后记，卷二备考、祠记、祖像、祠诗、祝文、传、源流、复建宗祠记略、墓考、祭田、墓田记、祭规、宗规、劝勉族众，卷三至四传、寿文、行述、事略，卷五宗源派续修委员会人员照片、慈捐福照及家传、接受高等教育人员一览表、功德芳名录、续修宗谱工作人员芳名录、族规、续修前记、族人居住区域图、老谱图、世系图、世系表、后记，卷六至九世系图、世表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/475y33a4i58v6mvb
华氏通十支宗谱（江苏省/无锡市/江阴市）,王煜声;华福高,华,2016,培元堂,南渡始祖原泉，居无锡梅里乡隆亭（今无锡东亭）。第七世孙兄弟辈十五人以“通”“奇”字排序，第七世孙（左王右戊）（字世珍，号西岩）分通十支。通十支第十一世孙澄（字宗渊）居江阴新塘桥，为宗渊派支祖。第十三世孙民润居祝塘，后迁陆桥新塘桥。裔布周边及张家港、苏、锡、沪、浙江等地。 卷一公元二〇一六年岁次丙申续修《华氏通十支宗谱》序、丙申续修新增凡例、历届谱序、历届凡例、历届谱跋、历届纂修名号、华氏源流、孝子祠祀、诗文、祝文、传芳集选、宗祠记、祭田、墓田记忆、祭规、祝文、宗规等，卷二至卷十六世系图、世表，卷十七当代人物，卷十八传、行述、记略、寿文等。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/j9ff7vhm8lxxampa
华氏通六支鹅子岸分支宗谱（江苏省/无锡市/惠山区）,华晓东,华,2012,永锡堂,华氏源出于子姓，周武王灭纣，封微子于宋。传至十世华宋戴，生子名考父，食邑于华邑。故以邑为姓。无锡始祖华宝生于东晋，殁于南朝齐，孝悌贤良，终身不婚，以弟之子华悫为嗣。其后孝祖二十一世孙华原泉，承事郎，北宋靖康年间随高宗南渡，复归无锡，占籍梅里乡隆亭（今江苏省无锡市锡山区东亭镇），为返锡华氏一世祖。南宋末期，元军伯颜领二十万大军攻占常州，文天祥闻讯派尹玉、麻士龙领兵2000前往救援，因寡不敌众，尹玉战死，而麻士龙饿死，故名其地为【饿死岸】。后世嫌其不雅，改为【鹅子岸】（今江苏省无锡市惠山区洛社镇万马村）。 卷一序、先祖像、祠堂图、题词、编纂说明、杂记、人物传略、事略、续修委员会、新增族规家训、万历年表， 卷二续修宗谱序、跋、凡例、局规条议、修谱凡例、宗谱原序、重修宗谱述、琐言、家训，卷三华氏源流、华氏备考、人物述、楼记、祠记、祭田记、人物传、墓志铭、祝祭文、命名考， 卷四祠图、坟图、华氏世系源流考、始祖孝子世系图、统宗世系图、人物赞、传， 卷五至卷九卷六世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wsj86jvz1mpql5uj
华氏通六支鹅子岸分支宗谱（江苏省/无锡市/惠山区）,华晓东,华,2012,永锡堂,始祖原泉，北宋靖康年间随宋高宗南渡，自开封复归无锡。始迁祖溥（字景远）、清（字景廉）兄弟，为原泉十二世孙，移居鹅子岸。 卷一序、照片、编纂说明、杂记、鹅子岸（万新）历史沿革、无锡华氏溯源、华氏古代名人华佗传略、华氏古代名人华宝传略、华氏古代名人华岩传略、华氏古代名人华察传略、华氏近代名人华蘅芳传略、华氏现代名人华彦钧传略、华氏现代名人华罗庚传略、华氏通六支鹅子岸分支华氏概况、事略、族规家训等，卷二续修通六支宗谱序、华氏通六支续修宗谱跋、凡例、局规条例、光绪戊寅续修宗谱条例、现居地名现丁细数、宗谱原序、重修宗谱传芳集合刻事述、重修宗谱述、琐言、家训等，卷三华氏源流、华氏备考、华氏三祖述、追祀三祖记略、成志楼追祀三祖祠、成志楼记、华孝子传、华孝子祠记、祖祠考、华孝子祠记、重建华孝子祠堂事述、宗谱传等，卷四祠图、坟图、华氏世系源流考、世系图、世系表、像赞等，卷五至卷九世系图、世系表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/u3rgv4bz71qzcriu
华氏通六支宗谱（江苏省/无锡市）,华国英;华良夫,华,2012,永锡堂,始迁祖原泉，宋承事郎，靖康年间随高宗南渡，复归无锡，占籍梅里乡的隆亭（今东亭镇）居焉。七世支祖珙（字至珍，号梅所，行通六），生于宋咸淳二年，元授宜兴茶园所正提领，为本支祖。 卷一序、华孝子祠、享堂、题词、编纂说明、杂记、历史沿革、溯源、传略、概况、事略、续修理事会、本届续修工作人员相片、家训，卷二宗谱序、宗谱跋、凡例、局规条议、现居地名现丁细数、原序、事述、重修宗谱述、琐言、家训，卷三源流、备考、三祖述、记略、祖祠、记、传、祠记、事述、祭田记、祝文、赞、传、命名考、各派捐款细数，卷四祠图、坟图、源流考、世系图、世表、序、赞、传，卷五至九世系图、世表、资助者风采、领谱字号、领谱人字号、后记。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/djhucpkrsrzke124
