谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
许氏世系图（台湾省/花莲县）,许茂庚,许,不详,--,始祖心。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ovczomklhfa3ab9u
许氏世系图及户籍誊本（台湾省）,不详,许,不详,--,始祖志，清朝人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/t4d8o65bwoim19qz
许氏三修族谱不分卷(江西兴国),许让泉;许昌德,许,民國17年(1928),高阳堂,參見清許周盛修《[江西興國]許氏重修宗譜》二修本條目（館藏：1058449-452）。始祖貴（字公和），兩宋之際人。孫六郎，北宋政和間進士，宋高宗南渡，遷居福建汀州宅田鄉，後宦居廣東潮州廟陽。子孫復遷江右。此為其後裔散居江西義寧（今修水）、興國、泰和、萬載等地者合修。此次修譜，局設興國黌門朱家塘。譜載序、凡例、家規、家訓、五服圖、像圖、祠圖、屋圖、墳圖、傳、執事名目、字派、世系、跋等。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/6xz3regeuzhbviv4
许氏三修宗谱（安徽省/合肥市）,许家财;许坤,许,2003,太岳堂,始迁祖富，明洪武间自舒邑迁合肥西乡紫蓬山之北雷麻店、大蜀山之西南三十岗一带。 本书共六卷，其中前五卷为重编老谱合卷（共二十二卷），第六卷为新谱，又另附家谱文献辑一册。合卷一至五载：卷一格言十六条、总序、碑记、谱序、重修宗谱序、凡例、族训三十条、祠规、格言四则，卷二传赞序，卷三至卷二十一为世系，卷二十二尧公太岳庙并三城寺大悲阁序、续修宗谱任事名目、排行字、合同重修宗谱任事名目、祠堂图附图说、家礼图、坟图、执谱字号。卷六为三修序、赞文、续修家谱 光大许氏宗族、许姓探源、归宗志附《认祖归宗续修宗谱申请书》、感志引、人物风采篇、三修编纂说明、世系、乐捐光荣榜、执谱名单、颁谱条例、后记。家谱文献辑载编者寄语、著名人士题辞、续修倡议书、公开信、三修文献征集启集、盛世修家谱 显文明家风、家谱中华民族的文化遗产、寻根与姓氏文化意义、家谱字辈 郡望与堂号、许氏前五世世系瓜藤图、三修人丁情况统计表、许氏先祖名仕摘录表、许氏现代宗亲仕模名录表、许氏宗亲的行为守则、许氏宗亲补遗登记表、余庆录。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wkc2kcxbwz2whntr
许氏七修族谱（湖南省/衡阳市/耒阳市）,许金木,许,1994,高阳堂,"始迁祖开泰，元理宗时自浙江省嘉兴市迁湖南省衡阳市耒阳市大义镇。 卷首谱序、礼仪、丧服图、家训、传赞，卷首二序、祭祖文、对联、贤贵录、世系勘误，卷二至卷十五世系,卷十六寿序、传赞。",https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/9sdujlsjsb26omlc
许氏.赐恩之光（福建省/泉州市）,许在全,许,2008,--,始祖许稷（字君苗），原籍为清源军莆田县沿海人。曾在京师与欧阳詹、林藻等酒会，激于林藻戏语，隐终南山，苦学三年，出就府荐，于唐德宗贞元十八年（802）举进士，历南省员外，终衡州刺史。后裔大多散居于福建泉州等地。 谱载目录、卷首语、重光盛况、敬天尊祖、敦亲睦族、显祖荣宗、枝繁叶茂、亲情无限。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/nla7yv8jev5xrivs
许杨氏支谱十七卷(安徽桐城),许发科,杨;许,民国6年（1917）,耕福堂,始迁祖秉鑑，姓许，世居江西鄱阳瓦屑坝，元末至顺间迁安徽桐城西乡撩风铺。乏嗣，以甥杨忠入继，後裔遂称许杨氏。杨忠又生纲踊、纲领、纲强三子，分为三房。此乃三房合谱。卷一谱序，卷二谱论，卷三凡例、续编增例，卷四家训、家戒、家规、家礼图、大宗小宗图、字派、修谱名目，卷五至七世图，卷八至十五世系，卷十六传，卷十七碑铭、先垄、契券、禁约、执照、领谱字号、新老跋。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/xmeppeuc6chbibm3
许杨支谱十卷（安徽省安庆市桐城市）,许杨启福,许,清道光二十八年（1848）,耕福堂,始遷祖许紀，字玉，號秉鑒，元朝人。三傳入繼明威將軍楊忠，遂为許楊氏。書名據版心題。二修本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2bjdj4i99rpmz1rv
许棍公派下世系表（台湾省/彰化县）,许是谅,许,1977,--,始祖观祐。迁台湾始迁祖棍。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/e7obpteai9b8dndp
许昌郭集蚩氏家谱（河南省/许昌市）,姚宗堂;蚩中山,--,2019,蚩家堂,本族先世由山东高密迁居河南许昌。谱从十三世廷荣记起。 卷首迁徙路线图、像赞、题词、照片，卷一报本追远、谱论、谱例、源流、家训、字辈，卷二世系，卷三人物、祠堂、碑、祖茔、卫星图、祭文、懿范，卷四节日、习俗、记事、遗址，卷末附录。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/a5w7fwt11xnfrvg4
