谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
芳田高氏宗谱十四卷（江苏省常州市）,高茂元,高,清光绪四年（1878）,守愚堂,始祖徹，字汝通，号瓊臺，宋代人。始迁祖宣訓，字希沂，行富三，明代人。书名据版心、书名页、卷端题。八修本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/zuv4hpzaprb9upbp
芳田高氏宗谱十六卷（江苏省常州市）,高金福,高,1947年,守愚堂,始祖徹，字汝通，号瓊臺，宋代人。始迁祖宣訓，字希沂，行富三，明代人。书名据版心、目录、卷端题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gvwavjylzo6m6n2x
芳田高氏宗谱（江苏省/常州市）,高荣安;高锡良,高,2011,守愚堂,始祖彻（字汝通，号琼台），南宋绍兴年间由庐州府合肥县（今安徽省合肥市）西仪村杨柳巷迁晋陵，为晋陵令，留居城东高墅（今江苏省常州市天宁区青龙街道大小高家村）。八世宣训（字希沂，行富三），明永乐年间迁居武进新塘乡太平区（今常州市武进区雪堰镇）。始迁祖十二世武（字平原），明正德元年迁居永丰南乡芳田里二十六都四图（今常州市武进区横山桥镇省庄村委上高村）。 卷一上贺词、公开信、历史梗概、筹集资金章程、续修启事、凡例、十修序、重建宗祠记、赞、碑记、重建宗祠用地说明、捐助物资录、筹备编纂委员会名录、图腾、族人集居地分布图、建祠录、修谱工作人员、匾额、楹联、屏风、功德榜、风采录、村容村貌、传、序略、本届续修人口统计、科名一览表，卷一下序、谱序、祠记、凡例、律例、家训述言、五宗图说、宗祠图、谱像说、遗像、源流考、逸谱、世系图，卷二统宗世系，卷三至十四世系图、世表，卷十五传文目次，卷十六传、序、事略、行略、九修谱名目、领谱字号、跋、余庆录。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/khn8gzxcs2njn5s8
芳溪吴氏宗谱八卷首三卷（江苏省无锡市宜兴市）,吴新吾,吴,民國20年(1931),世享堂,谱稱始迁祖兢，唐代迁居宜兴芳溪。卷首诰封、世系图，卷一至八世表。书名据版心题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/9sioelskpqvw2cvr
芳溪吴氏宗谱八卷，首三卷(宜兴),吴新吾,吴,民國20年(1931),世享堂,--,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wgzxqfk1gww56t8p
芳溪刘氏族谱不分卷(江西金谿),刘新盛,刘,清光緒18年(1892),--,始祖宗元（行二），後周顯德三年自江西南豐遷居土口。二世吉（行廿二），北宋淳化四年遷居常豐。六世五九，再遷金谿樓下。始遷祖十四世資五（字天祥，號如玉），明永樂十六年自樓下贅婿於芳溪熊氏。清康熙二十九年始復劉姓。譜分譜序、贊、修譜題名、領譜字號、字派、墓券、例言、凡例、家規、門樓記、祠眾公產、世系、跋。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gfqpo1c4oyiko1m5
芳洲谢氏族谱（江西省/萍乡市/莲花县）,谢菁林,谢,不详,惇叙堂,始迁祖鹏南。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/hppqvkwug6s6tpyo
芳川萧江氏宗谱不分卷（安徽省黄山市歙县）,不详,江,清咸豐間,--,始祖董，字伯强，唐代人。始遷祖斗，行千六，宋代人。書名據譜序題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5pjunr4hfbpy1eo8
芳山溪西余氏宗谱（浙江省/温州市/乐清市）,余承庭,余,2021,--,北宋时，始祖余查从青嶂(隶属于浙江省温州市永嘉县)迁芳山隶属于(浙江省金华市)。元，八世孙余宗履从芳山(隶属于浙江省金华市)迁溪西(隶属于浙江省温州市乐清市虹桥镇)。 卷一新修《芳山余氏宗谱》序、旧序选录、旧凡例与旧宗约、芳山余氏溯源、上古余氏源流世系、世系、芳山余氏迁派始祖及迁派地、芳山历史上的名人，卷二恩命、奏议录、墓志碑铭、产业和官司、诗词、歌赋及散文人物传、太公像及赞、跋、捐助者芳名。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/bco4myvnuqslerz6
芳山杨氏宗谱（江苏省/常州市/武进区）,杨祖根,杨,2015,四知堂,始祖蒨（字思曼，号长蒨），明洪武七年自江苏常州百丈迁居常州武进芳茂山阳西崦。六世厚（字重远），明正德间迁居邑之奔牛镇。始迁祖十世学诗（字斗柄，号可兴），明天启元年迁居芳茂山西杨白村（今杨柏塘） 卷一图腾、翰墨、序、凡例、目录、名录、功德、纪实、记、志、风采、跋，卷二叙、引、凡例、序、自述、遗事、像赞，卷三至四世系图、世系表，卷五引、宗规、宗约、家法、闺训，卷六传、寿序、跋。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/6plqk4ybziofnwca
芳山杨氏宗谱（江苏省/常州市/武进区）,杨祖根;杨祖华,杨,2015,四知堂,始迁祖阳元（字有德，号贤良），明天启辛酉年从奔牛徙居芳茂山西麓，以氏名为杨白村，后曰杨柏塘，现属常州市武进区横山桥镇金丰村。 卷一图腾、翰墨、续修序、凡例、总目录、续修名录、功德榜、续修纪实、重建宗祠记、里居志、续修采访记、族贤风采、人物传记、序略、保家卫国篇、大学生名录一览表、领谱字号、续修跋，卷二叙言、续修宗谱引、受姓氏原始、凡例、谱序、创谱建祠自述、迁居遗事、遗像引、像赞、祠墓杂志引、邱墓志、附冢祭条约、里居志、祠堂记、祭田志，卷三至四世系图、世表，卷五祠规引、宗约、宗训、祭仪、家训、闺训，卷六文传引、传、事略、宗谱跋、修谱职名录、领谱字号。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/xv9msoweala41gy9
芳墩吴氏宗谱（江西省上饶市弋阳县）,不详,吴,民國4年(1915),--,存卷载世表。存卷九。书名据版心题。记事至清光绪间。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/q62ej13yno56lnwd
芳墩吴氏宗谱□□卷(江西弋阳),--,吴,清,--,存卷載世表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/xtup2x0nt4rop1f0
