谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
龙井坝余氏族谱（重庆市/重庆市/云阳县）,余宗雄,余,2000,--,始祖余明道（字以德），原籍湖北省黄州府麻城县孝感乡古老塆，明洪武二年，由荆州府石码头上坎入川落居夔州府西坪太平街，十三世始迁祖余世文，清康熙六年，由重庆市重庆市沙坪坝区余家湾水坝，迁到重庆市重庆市云阳县龙角镇龙井坝。 谱载说明、摘抄、名单、凡例、祠堂、源流考、行派引、世系、后补资料、纪元表。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2alrzk5v1h4x9dsa
龙丘曹氏宗谱不分卷（上海市松江区）,曹星焘,曹,清乾隆56年(1791),--,曹氏本居河南，唐時遷浙江衢州，北宋時有名初芳者，遷於龍游（即龍丘）。始遷祖廷一，字世長，行貴一，明代遷至松江蕩灣里。本册前半爲遷松江蕩灣以前之世系，後半部分爲蕩灣里以後世系。書名據譜序題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jrgsd8to2cyp9z6s
斋公坪伍姓氏族源流一卷（湖南省永州市祁阳县）,伍福,伍,1948年,--,始遷祖頃十三郎，明代人。書名據書衣題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/hbrcztsdncsteq8d
齐齐哈尔苍氏家谱（黑龙江省/齐齐哈尔市）,苍万富,苍,1997,--,苍姓为黑龙江齐齐哈尔八旗满州正白旗二佐萨克达氏，汉字苍姓。始祖塔玛，明代人。始迁祖克木弩，明代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/n6u8q3m8ap352938
齐鲁卢氏汇谱（山东省/潍坊市）,卢效江;卢永欣,卢,2013,--,始迁祖希贤，由山西省洪洞县迁至昌邑南乡北孟后，立村卢家村，其后裔在明朝后期又迁居今潍坊六区和安丘刘家尧及青岛即墨卢氏村庄，明末清初，希贤祖部分后裔迁居昌邑南乡（今峡山生态经济区）等地部分村庄。 谱载目录前言、序、领导人论家谱、文化部办公厅关于协助编好《中国家谱总目》的通知、民政局及社科联批准文件、中国姓氏排名前300名、韩国、香港、台湾及全国各省市卢氏源流研究会贺词、祝语、编写说明、远祖及历代人物篇，第一章远祖炎帝至兴旺祖植公及历代人物介绍与世系，世界卢氏源流篇、第二章世界卢氏源流研究发端与组织人物，第三章韩、朝概况与卢氏源流，齐鲁卢氏源流篇、第四章明朝洪洞大移民，第五章山东少概况与卢氏源流、第六章济南市概况与卢氏源流、第七章淄博市概况与卢氏源流、第八章潍坊市概况与卢氏源流及组织发端、第九章德州市概况与卢氏源流、第十章滨州市概况与卢氏源流、第十一章东营市概况与卢氏源流、第十二章烟台市概况与卢氏源流、第十三章威海市概况与卢氏源流、第十四章青岛市概况与卢氏源流、第十五章日照市（鲁东南）概况与卢氏源流、第十六章临沂市概况与卢氏源流、第十七章莱芜市概况与卢氏源流、第十八章泰安市概况与卢氏源流、第十九章聊城市概况与卢氏源流、第二十章济宁市概况与卢氏源流、第二十一枣庄市概况与卢氏源流、第二十章菏泽市概况与卢氏源流、,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ukbpx2jdxbk2ohpl
齐鲁卢氏汇谱（山东省/淄博市/沂源县）,卢永欣;卢效江,卢,2012,--,始祖佚名，明洪武年间由山西省洪洞县迁居临朐县西南隅破口村居焉。始迁六世祖继进、松，明万历年间自沂源璞邱迁至卢家庄子居焉，松，迁至辛寨镇马存沟村居焉。 卷下会徽、编纂委员会成员、源流篇、世系图、世表、文化篇、功德篇、宗亲活动花絮、跋、后记。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jiynedayu1rnoyph
齐鲁卢氏汇谱二卷(山东),卢效江,卢,2013年,--,本譜為山東盧氏匯譜，載有山東省十六個地級市及隸屬縣市的盧氏概況與源流。上卷前言、序、編寫說明、遠祖及歷代人物篇（遠祖炎帝至興旺祖植公及歷代人物介紹與世系）、世界盧氏源流篇（世界盧氏源流研究發端與組織人物、韓、朝概況與盧氏源流）、齊魯盧氏源流篇（明朝洪洞大移民、山東省概況與盧氏源流、濟南、淄博、濰坊市概況及盧氏源流），下卷齊魯盧氏源流篇（德州、濱州、東營、煙台、威海、青島、日照、臨沂、萊蕪、聊城、濟寧、棗莊、菏澤等地概況與盧氏源流）、文化篇（盧氏家訓家規、盧氏測名要義）、功德篇（捐資匯譜、芳名玉照）、盧氏宗親活動花絮、參考書目、跋、後記。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/3f4purc8z28wewco
齐阳丁氏族谱一卷（福建省福州市连江县）,丁美元,丁,1915年,--,--,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/kc6s93dvidweemj3
齐郡谭氏族谱（山东省/烟台市/莱阳市）,谭作生,谭,2006,--,始迁祖尚卿，明朝万历年间因兵乱迁居莱阳野猪泊村。 谱载榆格庄支派各户存家谱名单、谱序、搬迁简介、抗日战争解放战争革命烈士简介、字辈一览表、增广贤文、治家格言、百家姓、千字文、食疗歌、十大劝、忍字高、老来难、为人篇、世系、行传。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/bbbi96xkvlj7dqil
齐郡谭氏族谱四卷（山东省烟台市栖霞市）,谭经籍,谭,1917年,--,始祖仲海，明洪武四年以軍籍卜居萊陽，五世尚卿遷居萊陽縣野渚泊村，八世國檁再遷棲霞城南榆格莊，九世從敬徙古宅埃村，是为始遷祖。書名據卷端題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/4a3bsq41go5nf9zu
