谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
龙峰徐氏宗谱(浙江遂安),徐鼎明,徐,民國29年(1940),仁本堂,參見清徐學年修《續修龍峰徐氏族譜》條目。卷一、十、十一、序、像贊、裡居圖、派行，卷十九世系，卷末跋。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vh2686b5lg2fo03k
龙峰夏氏宗谱（浙江省杭州市淳安县）,夏起铨,夏,清道光25年(1845),龙耳堂,祖居開化黄源馬金，五代末子孫避兵亂各自擇地而處，广迁邑之石門，廉迁邑之梧阪。廉十传至仲八，當南宋寶祐間，復自開化十六都乾溪梧阪村徙居遂安十四都龍耳山麓，是为龍峰始迁祖。存卷载谱序、世系。存卷一至二。书名据谱序题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/idw5sl6ez2tq478i
龙峰谢氏宗谱（福建省/南平市）,合族,谢,2001,--,始祖善宰。始迁祖诚琯，明代人。书名据书衣、书名页题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ntqk7e3wdphlvi6l
龙岸下地栋韦氏族谱（广西壮族自治区/柳州市/融水苗族自治县）,韦齐,韦,2009,--,始迁祖君长，约明代由广西柳城县落崖（现属冲脉镇）吉兆村迁居融县（现融水县）榕圩（现属融水镇）西峒村。 谱载卷首语、族源考、来源考、宗支体系、世系图、世表、族人的经济活动、、族人的教育文化活动、族人从事政治活动情况、迁居外地发展的概况、族人在抗日战争为国争光的历史、人口索引、传记、编后记。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/59xzpqxsbiek3npy
龙岩罗陈文安族谱（重修本）（福建省/龙岩市）,罗江海,罗,2009,--,龙岩罗陈氏始祖太一郎公，名柔，原连城亨仔堡罗兴，宋季游学来龙岩龙门里枫郎乡，陈世逵以女幼兰招赘为婿，柔公以义理改姓为陈，但又不忘祖姓罗氏，于氏形成了阳陈阴罗姓氏。龙岩罗陈白土文安户以开基龙岩白土高峰大一郎公为始祖，明满全，生于元，自枫郎迁居白土黄邦开基，妣邓氏，生二子：前溪、云岭。 服制图、旧谱谱序、修谱述要、宗庙、旧谱辑录、世系谱、派系谱、当代人物、礼法风俗、续修备要、编外、小记、轶事、其他。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/uh3umsmpj7gpi5hd
龙冈罗氏续修族谱十卷（湖南省长沙市浏阳市）,罗士龙,罗,清嘉慶12年(1807),龙冈堂,始迁祖荣松，字苍如，号大夫，行一，明时自江西吉水迁浏西跃龙冈。卷一序、祖训、凡例、宗规、族约、原传，卷二新传、诰封、祠图、墓图，余卷世系。书名据目录题，版心题罗氏续修族谱。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/55t5d36281dwztnt
龙冈王氏宗谱（浙江省）,不详,王,清光緒19年(1893),--,存卷爲世系。存卷十四、十七。書名據版心題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ushpkszjfatmhkhm
龙山黄氏宗谱四卷（江西省吉安市永丰县）,余智光,黄,民國18年(1929),--,一世祖荆（字楚材，號德盛），元時自福建莆田遷江西永豐廿四都之團源。至第十二世良材生四子，第四子文高（行禮四）于明代由團源阪遷居十七都千居阪高莊。此譜系千居阪（亦稱遷居阪）一支之譜。卷一、二譜序、家規、詩文、歷代遺像、墓圖、田産等，卷四行傳。存卷一、二、四。書名據版心、書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/z59i35ixyg12mn1p
龙山黄氏宗谱不分卷(江西广丰),黄庆禄,黄,民國2年(1913),忠义堂,始遷祖荊（字楚材，行基二），北宋時自福建邵武蒲田遷居永豐（今江西廣豐）廿四都團源。至元末明初，十二世良材（原名四郎，行盛一）生四子：用德（行禮一）、君德（行禮二）、文昌（行禮三）、文高（行禮四），分別遷居廿都上黃宅、廿五都佳山恩里、十八都黃家（土+弄）黃家州、十七都千家坂高莊。此譜為用德支居廿都上黃宅所修。譜載序、家規、凡例、修譜芳名、字派、像圖、記、傳、行狀、墓圖、世系圖、世系等。（館藏：5320系良材四子文高居十七都千家坂高莊支所修）,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/oa8f4xy3yg1c6vcq
龙山靛房镇魏家寨张氏族谱（湖南省/湘西土家族苗族自治州/龙山县）,张守福,张,2020,百忍堂,不详 不详,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/xmiupmkthgg77zis
